name,geoid,county,state,cases,c_avg,c_avg_100
"Palm Beach, Florida",12099,Palm Beach,Florida,0,326.07,21.79
"North Slope Borough, Alaska",02185,North Slope Borough,Alaska,0,2.14,21.79
"Eaton, Michigan",26045,Eaton,Michigan,0,24.0,21.77
"Lenawee, Michigan",26091,Lenawee,Michigan,0,21.43,21.77
"Mower, Minnesota",27099,Mower,Minnesota,0,8.71,21.75
"Kane, Utah",49025,Kane,Utah,0,1.71,21.74
"Lincoln, Wisconsin",55069,Lincoln,Wisconsin,0,6.0,21.74
"Grand Isle, Vermont",50013,Grand Isle,Vermont,0,1.57,21.72
"Hayes, Nebraska",31085,Hayes,Nebraska,0,0.2,21.69
"Comal, Texas",48091,Comal,Texas,11,33.86,21.67
"Larimer, Colorado",08069,Larimer,Colorado,0,77.29,21.65
"Goochland, Virginia",51075,Goochland,Virginia,0,5.14,21.65
"Middlesex, Virginia",51119,Middlesex,Virginia,0,2.29,21.6
"Orange, Virginia",51137,Orange,Virginia,0,8.0,21.59
"Stearns, Minnesota",27145,Stearns,Minnesota,0,34.71,21.55
"Loup, Nebraska",31115,Loup,Nebraska,0,0.14,21.51
"Kandiyohi, Minnesota",27067,Kandiyohi,Minnesota,0,9.29,21.5
"Mecklenburg, North Carolina",37119,Mecklenburg,North Carolina,0,238.71,21.5
"Greenwood, Kansas",20073,Greenwood,Kansas,0,1.29,21.49
"Roanoke, Virginia",51161,Roanoke,Virginia,0,20.14,21.39
"Woodford, Kentucky",21239,Woodford,Kentucky,0,5.71,21.37
"Judith Basin, Montana",30045,Judith Basin,Montana,0,0.43,21.35
"Henry, Kentucky",21103,Henry,Kentucky,0,3.43,21.26
"Forsyth, North Carolina",37067,Forsyth,North Carolina,0,81.29,21.26
"Cowlitz, Washington",53015,Cowlitz,Washington,0,23.43,21.18
"Monroe, Florida",12087,Monroe,Florida,0,15.71,21.17
"Portage, Ohio",39133,Portage,Ohio,0,34.29,21.1
"McLeod, Minnesota",27085,McLeod,Minnesota,0,7.57,21.09
"Jefferson, Wisconsin",55055,Jefferson,Wisconsin,0,17.86,21.07
"Greenbrier, West Virginia",54025,Greenbrier,West Virginia,0,7.29,21.02
"Orange, Florida",12095,Orange,Florida,0,292.21,20.97
"Delaware, Pennsylvania",42045,Delaware,Pennsylvania,0,118.86,20.97
"Cass, North Dakota",38017,Cass,North Dakota,0,38.14,20.97
"Chatham, North Carolina",37037,Chatham,North Carolina,0,15.57,20.91
"Union, Ohio",39159,Union,Ohio,0,12.29,20.83
"Tioga, Pennsylvania",42117,Tioga,Pennsylvania,0,8.43,20.76
"Lucas, Ohio",39095,Lucas,Ohio,0,88.86,20.74
"Salt Lake, Utah",49035,Salt Lake,Utah,0,240.14,20.69
"Anne Arundel, Maryland",24003,Anne Arundel,Maryland,0,119.86,20.69
"Pondera, Montana",30073,Pondera,Montana,0,1.22,20.68
"Chester, Pennsylvania",42029,Chester,Pennsylvania,0,108.57,20.68
"Ferry, Washington",53019,Ferry,Washington,0,1.57,20.6
"Kalamazoo, Michigan",26077,Kalamazoo,Michigan,0,54.57,20.59
"Wayne, Pennsylvania",42127,Wayne,Pennsylvania,0,10.57,20.58
"Yancey, North Carolina",37199,Yancey,North Carolina,0,3.71,20.56
"Grant, Wisconsin",55043,Grant,Wisconsin,0,10.57,20.55
"Mayes, Oklahoma",40097,Mayes,Oklahoma,0,8.43,20.51
"Harnett, North Carolina",37085,Harnett,North Carolina,0,27.86,20.49
"Martinsville city, Virginia",51690,Martinsville city,Virginia,0,2.57,20.48
"Monroe, West Virginia",54063,Monroe,West Virginia,0,2.71,20.45
"Klickitat, Washington",53039,Klickitat,Washington,0,4.57,20.39
"Lehigh, Pennsylvania",42077,Lehigh,Pennsylvania,0,75.14,20.35
"Warren, Illinois",17187,Warren,Illinois,0,3.43,20.35
"Gratiot, Michigan",26057,Gratiot,Michigan,0,8.29,20.35
"Richmond city, Virginia",51760,Richmond city,Virginia,0,46.86,20.33
"Freeborn, Minnesota",27047,Freeborn,Minnesota,0,6.14,20.29
"Huron, Michigan",26063,Huron,Michigan,0,6.29,20.29
"Otsego, Michigan",26137,Otsego,Michigan,0,5.0,20.27
"Sioux, North Dakota",38085,Sioux,North Dakota,0,0.86,20.26
"Halifax, Virginia",51083,Halifax,Virginia,0,6.86,20.22
"Solano, California",06095,Solano,California,0,90.43,20.2
"Cumberland, New Jersey",34011,Cumberland,New Jersey,26,30.14,20.16
"Yolo, California",06113,Yolo,California,0,44.43,20.15
"Lake, Minnesota",27075,Lake,Minnesota,0,2.14,20.14
"Allegheny, Pennsylvania",42003,Allegheny,Pennsylvania,0,244.71,20.12
"Pittsylvania, Virginia",51143,Pittsylvania,Virginia,0,12.14,20.12
"Osceola, Florida",12097,Osceola,Florida,0,75.57,20.11
"Johnson, Kansas",20091,Johnson,Kansas,0,121.14,20.11
"Emmet, Michigan",26047,Emmet,Michigan,0,6.71,20.09
"Broomfield, Colorado",08014,Broomfield,Colorado,0,14.14,20.07
"Isabella, Michigan",26073,Isabella,Michigan,0,14.0,20.04
"Karnes, Texas",48255,Karnes,Texas,0,3.13,20.03
"Ashe, North Carolina",37009,Ashe,North Carolina,0,5.43,19.96
"Morgan, Illinois",17137,Morgan,Illinois,0,6.71,19.95
"Delaware, Ohio",39041,Delaware,Ohio,0,41.71,19.94
